Feature,Mean_SHAP,Std_SHAP,Mean_Abs_SHAP
47,-0.035772747975609503,0.34396597877385526,0.34410631802692054
29,-0.030881105147791736,0.36654260851082787,0.30116928647524355
49,-0.016842187833725042,0.3976088256047093,0.23915906723889582
95,0.007844417904360941,0.17816666076226348,0.17776877229082674
3,-0.006415594234431806,0.2514584593349947,0.1748414295527017
0,-0.019842909142817652,0.21272079671693678,0.16889837884093925
31,-0.004309995024351416,0.22770920418808138,0.1576941249488474
66,-0.005392855037275299,0.10370128341794857,0.10375853091717673
19,0.023260945585117244,0.12830577670940366,0.10165846540471937
30,0.021358816165169575,0.11781376159612546,0.09334549475933136
7,0.002967987160209999,0.12829949013197392,0.08977545900656385
8,-0.020888456326873906,0.2785500028926887,0.08852360479560645
38,0.00033622358109278204,0.08375882110816414,0.08349103965695948
39,0.004021416609287016,0.09938651688791579,0.08106170530170309
37,7.66053886991358e-18,0.08251161654932258,0.07759602293881508
44,0.006101999631738514,0.0760305236287748,0.07529867545565341
17,-0.01594287407331224,0.10971084557456916,0.07356651151042551
36,0.022752010712864312,0.06796643521535627,0.06449509735569538
78,-0.018124136489048096,0.06796551183393036,0.05527861629159671
87,-0.00804075485612325,0.07670391266239639,0.05049594049645399
75,-0.005798172525594349,0.06607941774308985,0.04754501470987366
76,-0.003241202459414409,0.047272659882284004,0.04729867683126633
48,-0.001691774594893117,0.06921172686724235,0.04658301347038195
9,-0.002491724977531582,0.134366279001704,0.04611681693802671
21,0.0011535758696096146,0.0609466697189309,0.042207041143294606
65,-0.005643928220759432,0.0549241355875188,0.04164681509947055
6,0.0011824635234250977,0.05995579992740775,0.041525831213758135
59,-0.006159917218421626,0.051790032906836876,0.039392670611806284
68,-0.006387182461776973,0.0473001846653239,0.03690125241395323
50,-0.019001946495438942,0.1048187249773264,0.03496358155160766
94,-0.00024339521106327199,0.045926296487686806,0.03450370512032947
86,-0.0008212665877105065,0.03386279545226912,0.03362812921145303
33,-0.0029221914881095473,0.045137871620732545,0.027474415379902733
22,-0.002900486871911668,0.044802609478089415,0.027270348793743564
26,0.001495307939355853,0.030228957397570273,0.02682678291663815
85,0.00034181786071240517,0.03179595178854631,0.02388965028518984
81,0.013615677829706479,0.07603780091935274,0.020355438355411187
56,-0.0012424743605430643,0.02530350207101204,0.01989201451229446
1,0.0017924060269723682,0.023922452828976305,0.019201853194406635
41,-0.01756326817948319,0.1473939889490614,0.01756326817948319
57,0.0017916840086897828,0.017211046330099653,0.017273212062237725
11,-0.0035568042409398312,0.044167991203422276,0.01636410104463419
13,-0.0013650923490184503,0.06946998783147192,0.015823348692726405
46,0.0009082850868628015,0.019715446528634398,0.014839359908034044
5,0.0005204351644805783,0.018409459576020016,0.013015919110823372
2,-0.0003727592010684535,0.018450650892839114,0.01268909277500043
12,-0.003439783133900457,0.03906192800935461,0.012615845210057817
61,0.0029813858728371992,0.057560825716421696,0.011836101915163688
83,0.004645971021497914,0.04887479075904965,0.01077865276987516
16,-0.004684408506322264,0.12987394762313229,0.008244749071531408
15,0.00039370419325007033,0.007959074496807635,0.0070633055892417715
97,-0.0036595341289888746,0.020186758314665144,0.006733542797339528
10,-0.00111725860488296,0.01402440073436898,0.0045090086089438625
27,0.0024909504979485687,0.06906092286054177,0.00438417396293988
40,-0.003580871454506289,0.05650519846041424,0.003580871454506289
14,0.00039119335133776543,0.005122985415676615,0.003118110164385379
23,0.0006459455669738736,0.006001714127840611,0.0030225846640123018
45,-0.0010210713178642355,0.007580112660683169,0.0023552711732068364
25,0.0002451095335175223,0.0032099026252861104,0.0019537104228257935
69,-1.6653345369377348e-19,0.009262938486613066,0.0018433014849742815
18,-0.00015047816282805616,0.0017860972935697206,0.001467544659173958
4,5.520172672409756e-05,0.001555255744465282,0.0010772632462552432
89,0.0003711345501537054,0.003904269613022279,0.0008610321563565967
82,-0.0008268066070491229,0.01846946056506744,0.0008268066070491229
24,0.00010389563723991674,0.0009653319810909582,0.0004861607166844439
70,-0.0003514805522728629,0.007851480798829757,0.0003514805522728629
98,-0.0001963406158724161,0.004385917131357895,0.0001963406158724161
84,0.0,0.0,0.0
80,0.0,0.0,0.0
101,0.0,0.0,0.0
79,0.0,0.0,0.0
99,0.0,0.0,0.0
91,0.0,0.0,0.0
93,0.0,0.0,0.0
100,0.0,0.0,0.0
88,0.0,0.0,0.0
92,0.0,0.0,0.0
90,0.0,0.0,0.0
96,0.0,0.0,0.0
51,0.0,0.0,0.0
77,0.0,0.0,0.0
54,0.0,0.0,0.0
20,0.0,0.0,0.0
28,0.0,0.0,0.0
32,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
55,0.0,0.0,0.0
74,0.0,0.0,0.0
58,0.0,0.0,0.0
60,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
67,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
102,0.0,0.0,0.0
